token	corpus size	all contexts size	frequency	co-frequency	specificity
计算	37257	22363	104	91	9.28
技术	37257	22363	129	105	6.98
经济	37257	22363	65	58	6.81
云	37257	22363	850	567	5.12
天空	37257	22363	58	50	4.99
分类	37257	22363	21	21	4.66
意象	37257	22363	29	27	4.18
形成	37257	22363	45	39	4.13
朵	37257	22363	22	21	3.71
天上	37257	22363	21	20	3.51
降水	37257	22363	21	20	3.51
形态	37257	22363	21	20	3.51
商	37257	22363	21	20	3.51
中国	37257	22363	96	73	3.41
积云	37257	22363	20	19	3.31
层云	37257	22363	14	14	3.10
程序	37257	22363	23	21	3.05
出现	37257	22363	51	41	2.97
山	37257	22363	13	13	2.88
云南	37257	22363	22	20	2.87
服务	37257	22363	151	107	2.82
游戏	37257	22363	87	65	2.82
片	37257	22363	29	25	2.76
分析	37257	22363	29	25	2.76
形状	37257	22363	21	19	2.69
基础	37257	22363	58	45	2.66
迁移	37257	22363	45	36	2.62
模式	37257	22363	28	24	2.60
结构	37257	22363	31	26	2.53
卷云	37257	22363	11	11	2.44
架构	37257	22363	11	11	2.44
联通	37257	22363	11	11	2.44
政企	37257	22363	11	11	2.44
治理	37257	22363	33	27	2.33
尺度	37257	22363	15	14	2.33
发展	37257	22363	90	65	2.30
高度	37257	22363	26	22	2.30
看	37257	22363	101	72	2.27
一	37257	22363	440	284	2.23
最	37257	22363	57	43	2.22
如今	37257	22363	10	10	2.22
背后	37257	22363	10	10	2.22
移动	37257	22363	10	10	2.22
规范	37257	22363	10	10	2.22
电信	37257	22363	10	10	2.22
天气	37257	22363	80	58	2.19
选择	37257	22363	18	16	2.16
安全性	37257	22363	18	16	2.16
古人	37257	22363	14	13	2.13
呢	37257	22363	14	13	2.13
轻松	37257	22363	14	13	2.13
将	37257	22363	126	87	2.08
方案	37257	22363	31	25	2.06
雨	37257	22363	46	35	2.01
识云	37257	22363	9	9	2.00
类型	37257	22363	9	9	2.00
云高	37257	22363	9	9	2.00
云量	37257	22363	9	9	2.00
月度	37257	22363	9	9	2.00
指	37257	22363	17	15	1.99
常	37257	22363	17	15	1.99
结合	37257	22363	17	15	1.99
同	37257	22363	63	46	1.96
源	37257	22363	27	22	1.96
各种	37257	22363	27	22	1.96
关注	37257	22363	27	22	1.96
自由	37257	22363	13	12	1.94
成为	37257	22363	36	28	1.91
特征	37257	22363	20	17	1.91
世界	37257	22363	59	43	1.86
大	37257	22363	111	76	1.83
所有	37257	22363	26	21	1.83
云彩	37257	22363	32	25	1.80
主要	37257	22363	35	27	1.80
特点	37257	22363	8	8	1.77
位于	37257	22363	8	8	1.77
详细	37257	22363	8	8	1.77
阅读	37257	22363	8	8	1.77
高空	37257	22363	12	11	1.76
诗词	37257	22363	19	16	1.76
作者	37257	22363	19	16	1.76
管理	37257	22363	37	28	1.70
能够	37257	22363	34	26	1.69
像	37257	22363	92	63	1.66
存储	37257	22363	73	51	1.66
散文	37257	22363	15	13	1.66
预测	37257	22363	15	13	1.66
基于	37257	22363	15	13	1.66
数据	37257	22363	144	95	1.63
气象	37257	22363	42	31	1.62
处	37257	22363	18	15	1.61
对于	37257	22363	33	25	1.59
水	37257	22363	21	17	1.58
人们	37257	22363	50	36	1.58
联通云	37257	22363	24	19	1.57
版	37257	22363	11	10	1.57
洁白	37257	22363	11	10	1.57
为什	37257	22363	11	10	1.57
之一	37257	22363	11	10	1.57
因素	37257	22363	11	10	1.57
生活	37257	22363	58	41	1.56
团	37257	22363	7	7	1.55
即便	37257	22363	7	7	1.55
卷积云	37257	22363	7	7	1.55
体现	37257	22363	7	7	1.55
爱情	37257	22363	7	7	1.55
卢克	37257	22363	7	7	1.55
宏观	37257	22363	7	7	1.55
云状	37257	22363	7	7	1.55
打造	37257	22363	7	7	1.55
祈求	37257	22363	7	7	1.55
神明	37257	22363	7	7	1.55
赐福	37257	22363	7	7	1.55
迎接	37257	22363	7	7	1.55
说	37257	22363	74	51	1.55
场	37257	22363	14	12	1.50
介绍	37257	22363	14	12	1.50
人工	37257	22363	14	12	1.50
表达	37257	22363	14	12	1.50
数字化	37257	22363	14	12	1.50
远程	37257	22363	14	12	1.50
可	37257	22363	102	68	1.50
解决	37257	22363	32	24	1.48
觉得	37257	22363	17	14	1.47
探测	37257	22363	17	14	1.47
一样	37257	22363	26	20	1.46
厂商	37257	22363	20	16	1.45
本地	37257	22363	23	18	1.45
有时	37257	22363	40	29	1.45
影响	37257	22363	40	29	1.45
用	37257	22363	61	42	1.40
云属	37257	22363	10	9	1.39
描写	37257	22363	10	9	1.39
华为	37257	22363	10	9	1.39
预算	37257	22363	10	9	1.39
可能	37257	22363	50	35	1.38
应用	37257	22363	71	48	1.38
几	37257	22363	28	21	1.37
以及	37257	22363	55	38	1.36
免费	37257	22363	13	11	1.34
反映	37257	22363	13	11	1.34
下	37257	22363	116	75	1.34
相	37257	22363	22	17	1.34
仰望	37257	22363	6	6	1.33
向往	37257	22363	6	6	1.33
清楚	37257	22363	6	6	1.33
常常	37257	22363	6	6	1.33
卷层云	37257	22363	6	6	1.33
高积云	37257	22363	6	6	1.33
积雨云	37257	22363	6	6	1.33
纷纷	37257	22363	6	6	1.33
大概	37257	22363	6	6	1.33
字体	37257	22363	6	6	1.33
神秘	37257	22363	6	6	1.33
英国	37257	22363	6	6	1.33
供应商	37257	22363	6	6	1.33
季度	37257	22363	6	6	1.33
同比	37257	22363	6	6	1.33
喜欢	37257	22363	16	13	1.33
我	37257	22363	182	114	1.33
这种	37257	22363	49	34	1.31
里	37257	22363	85	56	1.31
还	37257	22363	100	65	1.31
都	37257	22363	134	85	1.29
观测	37257	22363	51	35	1.27
上	37257	22363	207	126	1.26
研究	37257	22363	24	18	1.25
存在	37257	22363	24	18	1.25
速度	37257	22363	24	18	1.25
服务器	37257	22363	32	23	1.23
场景	37257	22363	32	23	1.23
让	37257	22363	63	42	1.23
边缘	37257	22363	9	8	1.22
消散	37257	22363	9	8	1.22
飘	37257	22363	9	8	1.22
分为	37257	22363	9	8	1.22
处于	37257	22363	9	8	1.22
提到	37257	22363	9	8	1.22
垂直	37257	22363	9	8	1.22
其它	37257	22363	9	8	1.22
效益	37257	22363	9	8	1.22
产品	37257	22363	37	26	1.21
开发	37257	22363	18	14	1.21
变化	37257	22363	42	29	1.20
就	37257	22363	150	92	1.20
一起	37257	22363	15	12	1.20
基本	37257	22363	15	12	1.20
关键	37257	22363	15	12	1.20
产业	37257	22363	15	12	1.20
样	37257	22363	12	10	1.19
太阳	37257	22363	12	10	1.19
