token	corpus size	all contexts size	frequency	co-frequency	specificity
计算	37367	22568	104	91	9.09
经济	37367	22568	65	58	6.68
技术	37367	22568	129	103	5.93
天空	37367	22568	58	50	4.89
分类	37367	22568	21	21	4.60
提供	37367	22568	135	103	4.43
意象	37367	22568	29	27	4.11
形成	37367	22568	45	39	4.05
朵	37367	22568	22	21	3.66
什	37367	22568	42	36	3.58
云	37367	22568	850	555	3.46
天上	37367	22568	21	20	3.46
降水	37367	22568	21	20	3.46
形态	37367	22568	21	20	3.46
商	37367	22568	21	20	3.46
么	37367	22568	131	97	3.45
中国	37367	22568	96	73	3.31
积云	37367	22568	20	19	3.26
哪	37367	22568	24	22	3.18
种	37367	22568	90	68	3.02
程序	37367	22568	23	21	3.00
阿	37367	22568	34	29	2.92
出现	37367	22568	51	41	2.90
山	37367	22568	13	13	2.85
云南	37367	22568	22	20	2.82
游戏	37367	22568	87	65	2.73
服务	37367	22568	151	107	2.71
片	37367	22568	29	25	2.71
形状	37367	22568	21	19	2.64
如何	37367	22568	21	19	2.64
迁移	37367	22568	45	36	2.56
看	37367	22568	101	73	2.41
卷云	37367	22568	11	11	2.41
架构	37367	22568	11	11	2.41
联通	37367	22568	11	11	2.41
政企	37367	22568	11	11	2.41
中	37367	22568	253	170	2.37
尺度	37367	22568	15	14	2.29
高度	37367	22568	26	22	2.25
分析	37367	22568	29	24	2.19
如今	37367	22568	10	10	2.19
云属	37367	22568	10	10	2.19
移动	37367	22568	10	10	2.19
规范	37367	22568	10	10	2.19
电信	37367	22568	10	10	2.19
一	37367	22568	440	285	2.18
同	37367	22568	63	47	2.17
最	37367	22568	57	43	2.16
选择	37367	22568	18	16	2.12
天气	37367	22568	80	58	2.12
古人	37367	22568	14	13	2.10
呢	37367	22568	14	13	2.10
层云	37367	22568	14	13	2.10
轻松	37367	22568	14	13	2.10
世界	37367	22568	59	44	2.07
模式	37367	22568	28	23	2.06
结构	37367	22568	31	25	2.02
发展	37367	22568	90	64	2.01
识云	37367	22568	9	9	1.97
类型	37367	22568	9	9	1.97
云量	37367	22568	9	9	1.97
月度	37367	22568	9	9	1.97
雨	37367	22568	46	35	1.97
指	37367	22568	17	15	1.96
结合	37367	22568	17	15	1.96
大	37367	22568	111	77	1.93
源	37367	22568	27	22	1.92
自由	37367	22568	13	12	1.92
治理	37367	22568	33	26	1.88
特征	37367	22568	20	17	1.87
成为	37367	22568	36	28	1.87
将	37367	22568	126	86	1.85
所有	37367	22568	26	21	1.79
云彩	37367	22568	32	25	1.76
主要	37367	22568	35	27	1.76
或是	37367	22568	8	8	1.75
特点	37367	22568	8	8	1.75
位于	37367	22568	8	8	1.75
详细	37367	22568	8	8	1.75
阅读	37367	22568	8	8	1.75
霍华德	37367	22568	8	8	1.75
杨舒楠	37367	22568	8	8	1.75
高空	37367	22568	12	11	1.73
基础	37367	22568	58	42	1.73
诗词	37367	22568	19	16	1.72
说	37367	22568	74	52	1.68
管理	37367	22568	37	28	1.66
能够	37367	22568	34	26	1.65
方案	37367	22568	31	24	1.65
散文	37367	22568	15	13	1.63
基本	37367	22568	15	13	1.63
预测	37367	22568	15	13	1.63
基于	37367	22568	15	13	1.63
气象	37367	22568	42	31	1.58
处	37367	22568	18	15	1.58
安全性	37367	22568	18	15	1.58
可	37367	22568	102	69	1.57
水	37367	22568	21	17	1.56
版	37367	22568	11	10	1.55
洁白	37367	22568	11	10	1.55
棉花	37367	22568	11	10	1.55
为什	37367	22568	11	10	1.55
之一	37367	22568	11	10	1.55
因素	37367	22568	11	10	1.55
存在	37367	22568	24	19	1.54
联通云	37367	22568	24	19	1.54
各种	37367	22568	27	21	1.54
关注	37367	22568	27	21	1.54
团	37367	22568	7	7	1.53
即便	37367	22568	7	7	1.53
降雨	37367	22568	7	7	1.53
卷积云	37367	22568	7	7	1.53
体现	37367	22568	7	7	1.53
爱情	37367	22568	7	7	1.53
卢克	37367	22568	7	7	1.53
宏观	37367	22568	7	7	1.53
云状	37367	22568	7	7	1.53
打造	37367	22568	7	7	1.53
祈求	37367	22568	7	7	1.53
神明	37367	22568	7	7	1.53
赐福	37367	22568	7	7	1.53
迎接	37367	22568	7	7	1.53
场	37367	22568	14	12	1.47
介绍	37367	22568	14	12	1.47
人工	37367	22568	14	12	1.47
表达	37367	22568	14	12	1.47
数字化	37367	22568	14	12	1.47
像	37367	22568	92	62	1.47
解决	37367	22568	32	24	1.45
很	37367	22568	46	33	1.45
存储	37367	22568	73	50	1.45
觉得	37367	22568	17	14	1.44
常	37367	22568	17	14	1.44
探测	37367	22568	17	14	1.44
一样	37367	22568	26	20	1.43
现象	37367	22568	20	16	1.43
厂商	37367	22568	20	16	1.43
本地	37367	22568	23	18	1.43
可以	37367	22568	134	87	1.40
下	37367	22568	116	76	1.39
里	37367	22568	85	57	1.39
背后	37367	22568	10	9	1.37
描写	37367	22568	10	9	1.37
华为	37367	22568	10	9	1.37
预算	37367	22568	10	9	1.37
用	37367	22568	61	42	1.37
生活	37367	22568	58	40	1.35
人们	37367	22568	50	35	1.35
几	37367	22568	28	21	1.34
让	37367	22568	63	43	1.33
数据	37367	22568	144	92	1.32
免费	37367	22568	13	11	1.32
反映	37367	22568	13	11	1.32
仰望	37367	22568	6	6	1.31
向往	37367	22568	6	6	1.31
跟	37367	22568	6	6	1.31
清楚	37367	22568	6	6	1.31
常常	37367	22568	6	6	1.31
卷层云	37367	22568	6	6	1.31
高积云	37367	22568	6	6	1.31
积雨云	37367	22568	6	6	1.31
纷纷	37367	22568	6	6	1.31
大概	37367	22568	6	6	1.31
字体	37367	22568	6	6	1.31
神秘	37367	22568	6	6	1.31
英国	37367	22568	6	6	1.31
供应商	37367	22568	6	6	1.31
季度	37367	22568	6	6	1.31
同比	37367	22568	6	6	1.31
相	37367	22568	22	17	1.31
作者	37367	22568	19	15	1.31
喜欢	37367	22568	16	13	1.31
对于	37367	22568	33	24	1.29
这种	37367	22568	49	34	1.28
观测	37367	22568	51	35	1.25
能	37367	22568	116	74	1.24
带	37367	22568	56	38	1.24
研究	37367	22568	24	18	1.23
有时	37367	22568	40	28	1.21
影响	37367	22568	40	28	1.21
场景	37367	22568	32	23	1.21
边缘	37367	22568	9	8	1.20
知道	37367	22568	9	8	1.20
消散	37367	22568	9	8	1.20
飘	37367	22568	9	8	1.20
分为	37367	22568	9	8	1.20
处于	37367	22568	9	8	1.20
