token	corpus size	all contexts size	frequency	co-frequency	specificity
云	60247	22586	850	564	65.39
计算	60247	22586	110	92	22.61
技术	60247	22586	143	105	17.70
服务	60247	22586	174	108	10.56
天空	60247	22586	67	50	9.25
迁移	60247	22586	47	38	8.90
游戏	60247	22586	94	64	8.89
天气	60247	22586	83	58	8.79
数据	60247	22586	158	95	8.40
存储	60247	22586	73	51	7.82
天上	60247	22586	21	20	7.41
降水	60247	22586	21	20	7.41
积云	60247	22586	20	19	7.00
朵	60247	22586	23	21	6.96
形成	60247	22586	54	39	6.75
意象	60247	22586	33	27	6.69
分类	60247	22586	24	21	6.26
基础	60247	22586	69	46	6.22
形状	60247	22586	21	19	6.18
出现	60247	22586	60	41	6.04
经济	60247	22586	94	58	5.97
层云	60247	22586	14	14	5.97
形态	60247	22586	23	20	5.89
商	60247	22586	23	20	5.89
程序	60247	22586	28	23	5.83
云彩	60247	22586	32	25	5.56
云南	60247	22586	22	19	5.52
安全性	60247	22586	19	17	5.42
片	60247	22586	33	25	5.14
高度	60247	22586	28	22	5.02
尺度	60247	22586	15	14	4.99
有时	60247	22586	41	29	4.91
应用	60247	22586	83	50	4.87
模式	60247	22586	32	24	4.84
卷云	60247	22586	11	11	4.69
联通	60247	22586	11	11	4.69
政企	60247	22586	11	11	4.69
治理	60247	22586	38	27	4.67
常	60247	22586	17	15	4.67
山	60247	22586	14	13	4.60
一	60247	22586	649	289	4.45
结构	60247	22586	39	27	4.36
可	60247	22586	125	68	4.34
看	60247	22586	144	76	4.19
服务器	60247	22586	32	23	4.19
本地	60247	22586	23	18	4.16
分析	60247	22586	36	25	4.12
管理	60247	22586	40	27	4.08
同	60247	22586	79	46	4.07
像	60247	22586	116	63	4.06
白云	60247	22586	46	30	4.05
气象	60247	22586	48	31	4.05
将	60247	22586	171	87	3.97
厂商	60247	22586	20	16	3.95
预测	60247	22586	15	13	3.93
基于	60247	22586	15	13	3.93
识云	60247	22586	9	9	3.84
云高	60247	22586	9	9	3.84
云量	60247	22586	9	9	3.84
月度	60247	22586	9	9	3.84
般	60247	22586	37	25	3.83
主要	60247	22586	41	27	3.82
高空	60247	22586	12	11	3.81
电信	60247	22586	12	11	3.81
联通云	60247	22586	24	18	3.77
探测	60247	22586	17	14	3.75
浮云	60247	22586	64	38	3.72
还	60247	22586	124	65	3.62
访问	60247	22586	36	24	3.58
古人	60247	22586	14	12	3.56
数字化	60247	22586	14	12	3.56
特征	60247	22586	23	17	3.46
洁白	60247	22586	11	10	3.42
为什	60247	22586	11	10	3.42
规范	60247	22586	11	10	3.42
散文	60247	22586	16	13	3.40
介绍	60247	22586	16	13	3.40
轻松	60247	22586	16	13	3.40
变化	60247	22586	47	29	3.37
方案	60247	22586	41	26	3.34
可能	60247	22586	60	35	3.30
观测	60247	22586	61	35	3.13
速度	60247	22586	26	18	3.11
这种	60247	22586	59	34	3.11
源	60247	22586	38	24	3.10
场景	60247	22586	36	23	3.09
各种	60247	22586	34	22	3.08
自由	60247	22586	15	12	3.07
远程	60247	22586	15	12	3.07
云属	60247	22586	10	9	3.04
华为	60247	22586	10	9	3.04
预算	60247	22586	10	9	3.04
卷积云	60247	22586	7	7	2.98
卢克	60247	22586	7	7	2.98
云状	60247	22586	7	7	2.98
祈求	60247	22586	7	7	2.98
神明	60247	22586	7	7	2.98
赐福	60247	22586	7	7	2.98
迎接	60247	22586	7	7	2.98
企业	60247	22586	142	70	2.96
用户	60247	22586	60	34	2.95
能够	60247	22586	43	26	2.92
觉得	60247	22586	19	14	2.92
生活	60247	22586	76	41	2.88
