token	corpus size	all contexts size	frequency	co-frequency	specificity
云	60123	22785	850	552	57.48
计算	60123	22785	110	92	22.23
技术	60123	22785	143	103	16.04
提供	60123	22785	153	102	12.43
服务	60123	22785	174	108	10.24
天空	60123	22785	67	50	9.07
迁移	60123	22785	47	38	8.75
游戏	60123	22785	94	64	8.68
天气	60123	22785	83	58	8.59
么	60123	22785	165	97	7.60
天上	60123	22785	21	20	7.31
降水	60123	22785	21	20	7.31
存储	60123	22785	73	50	7.08
数据	60123	22785	158	92	7.00
积云	60123	22785	20	19	6.91
朵	60123	22785	23	21	6.86
形成	60123	22785	54	39	6.61
意象	60123	22785	33	27	6.58
哪	60123	22785	25	22	6.53
阿	60123	22785	37	29	6.29
种	60123	22785	112	68	6.29
分类	60123	22785	24	21	6.17
形状	60123	22785	21	19	6.10
什	60123	22785	50	36	6.10
出现	60123	22785	60	41	5.90
形态	60123	22785	23	20	5.80
商	60123	22785	23	20	5.80
经济	60123	22785	94	58	5.80
程序	60123	22785	28	23	5.74
可以	60123	22785	157	87	5.49
云彩	60123	22785	32	25	5.46
云南	60123	22785	22	19	5.44
片	60123	22785	33	25	5.05
高度	60123	22785	28	22	4.94
尺度	60123	22785	15	14	4.93
基础	60123	22785	69	43	4.66
卷云	60123	22785	11	11	4.64
联通	60123	22785	11	11	4.64
政企	60123	22785	11	11	4.64
层云	60123	22785	14	13	4.54
山	60123	22785	14	13	4.54
可	60123	22785	125	69	4.48
安全性	60123	22785	19	16	4.38
同	60123	22785	79	47	4.31
看	60123	22785	144	77	4.30
有时	60123	22785	41	28	4.24
一	60123	22785	649	290	4.23
云属	60123	22785	10	10	4.21
模式	60123	22785	32	23	4.11
本地	60123	22785	23	18	4.09
治理	60123	22785	38	26	4.01
管理	60123	22785	40	27	3.99
应用	60123	22785	83	48	3.98
气象	60123	22785	48	31	3.95
使用	60123	22785	79	46	3.94
厂商	60123	22785	20	16	3.89
预测	60123	22785	15	13	3.87
基于	60123	22785	15	13	3.87
识云	60123	22785	9	9	3.79
