token	corpus size	all contexts size	frequency	co-frequency	specificity
informatique	36998	22173	217	193	20.83
mots	36998	22173	187	163	15.78
en	36998	22173	714	511	10.78
points	36998	22173	55	52	8.34
les	36998	22173	900	605	6.09
des	36998	22173	837	556	4.87
périphérie	36998	22173	20	20	4.45
Informatique	36998	22173	19	19	4.23
Les	36998	22173	157	116	4.07
ERP	36998	22173	28	26	4.00
Qu	36998	22173	23	22	3.93
Le	36998	22173	131	98	3.89
dans	36998	22173	403	273	3.68
services	36998	22173	98	75	3.65
BUTTON	36998	22173	26	24	3.62
de	36998	22173	1995	1256	3.48
hybride	36998	22173	20	19	3.32
o	36998	22173	38	32	3.06
le	36998	22173	605	394	2.99
La	36998	22173	88	66	2.94
technologie	36998	22173	18	17	2.92
rétroaction	36998	22173	13	13	2.89
Pour	36998	22173	29	25	2.77
fournisseurs	36998	22173	32	27	2.69
png	36998	22173	12	12	2.67
Nues	36998	22173	12	12	2.67
types	36998	22173	16	15	2.53
nuées	36998	22173	16	15	2.53
ciel	36998	22173	80	59	2.46
€‹	36998	22173	11	11	2.45
pour	36998	22173	286	190	2.43
formation	36998	22173	46	36	2.37
réchauffement	36998	22173	15	14	2.33
Tête	36998	22173	10	10	2.22
hybrides	36998	22173	10	10	2.22
4	36998	22173	25	21	2.16
chez	36998	22173	14	13	2.14
Un	36998	22173	47	36	2.13
Howard	36998	22173	28	23	2.11
De	36998	22173	34	27	2.05
JSON	36998	22173	9	9	2.00
Créer	36998	22173	9	9	2.00
nombreuses	36998	22173	9	9	2.00
est	36998	22173	363	233	1.97
Â«	36998	22173	142	96	1.92
tête	36998	22173	20	17	1.92
comment	36998	22173	20	17	1.92
créer	36998	22173	20	17	1.92
soleil	36998	22173	20	17	1.92
solutions	36998	22173	26	21	1.84
privé	36998	22173	16	14	1.83
Formation	36998	22173	8	8	1.78
permettent	36998	22173	12	11	1.76
fr	36998	22173	12	11	1.76
Microsoft	36998	22173	12	11	1.76
avoir	36998	22173	19	16	1.76
commentaires	36998	22173	15	13	1.66
bas	36998	22173	15	13	1.66
pouvez	36998	22173	18	15	1.62
un	36998	22173	441	274	1.60
sont	36998	22173	184	119	1.59
3	36998	22173	30	23	1.59
pourquoi	36998	22173	11	10	1.58
enfant	36998	22173	7	7	1.56
13	36998	22173	7	7	1.56
Météorologie	36998	22173	7	7	1.56
Presses	36998	22173	7	7	1.56
Rennes	36998	22173	7	7	1.56
hauteur	36998	22173	7	7	1.56
pareils	36998	22173	7	7	1.56
ensemencement	36998	22173	7	7	1.56
environnements	36998	22173	7	7	1.56
fait	36998	22173	41	30	1.54
l	36998	22173	731	440	1.52
savoir	36998	22173	14	12	1.50
file	36998	22173	14	12	1.50
au	36998	22173	107	71	1.50
précipitations	36998	22173	17	14	1.47
Simonet	36998	22173	17	14	1.47
Dans	36998	22173	37	27	1.43
oEmbed	36998	22173	10	9	1.40
apparaître	36998	22173	10	9	1.40
immense	36998	22173	10	9	1.40
classification	36998	22173	10	9	1.40
couverture	36998	22173	10	9	1.40
Azure	36998	22173	10	9	1.40
du	36998	22173	314	191	1.36
Des	36998	22173	13	11	1.35
5	36998	22173	22	17	1.35
Vous	36998	22173	19	15	1.34
dessus	36998	22173	19	15	1.34
sage	36998	22173	6	6	1.33
Comprendre	36998	22173	6	6	1.33
lit	36998	22173	6	6	1.33
visuels	36998	22173	6	6	1.33
Quand	36998	22173	6	6	1.33
livre	36998	22173	6	6	1.33
universitaires	36998	22173	6	6	1.33
éd	36998	22173	6	6	1.33
86	36998	22173	6	6	1.33
Pigeaud	36998	22173	6	6	1.33
orages	36998	22173	6	6	1.33
tonnes	36998	22173	6	6	1.33
génération	36998	22173	6	6	1.33
Sans	36998	22173	6	6	1.33
Sécurité	36998	22173	6	6	1.33
Computing	36998	22173	6	6	1.33
partie	36998	22173	16	13	1.33
poétique	36998	22173	16	13	1.33
donc	36998	22173	33	24	1.33
une	36998	22173	292	175	1.32
ont	36998	22173	41	29	1.32
avec	36998	22173	90	59	1.32
Â»	36998	22173	155	97	1.28
2	36998	22173	45	31	1.23
16	36998	22173	9	8	1.22
Bien	36998	22173	9	8	1.22
niveau	36998	22173	9	8	1.22
J	36998	22173	9	8	1.22
migration	36998	22173	9	8	1.22
former	36998	22173	9	8	1.22
petits	36998	22173	18	14	1.22
€¦	36998	22173	42	29	1.20
après	36998	22173	15	12	1.20
compréhension	36998	22173	12	10	1.20
10	36998	22173	12	10	1.20
possible	36998	22173	12	10	1.20
sans	36998	22173	26	19	1.19
Mathieu	36998	22173	23	17	1.16
L	36998	22173	104	65	1.16
effet	36998	22173	36	25	1.15
service	36998	22173	41	28	1.14
6	36998	22173	20	15	1.13
comprendre	36998	22173	20	15	1.13
2024	36998	22173	20	15	1.13
aux	36998	22173	98	61	1.13
ce	36998	22173	113	69	1.13
lecture	36998	22173	5	5	1.11
XML	36998	22173	5	5	1.11
Avantages	36998	22173	5	5	1.11
consiste	36998	22173	5	5	1.11
Types	36998	22173	5	5	1.11
71	36998	22173	5	5	1.11
signification	36998	22173	5	5	1.11
apparaît	36998	22173	5	5	1.11
tu	36998	22173	5	5	1.11
92	36998	22173	5	5	1.11
gris	36998	22173	5	5	1.11
poétiques	36998	22173	5	5	1.11
divinité	36998	22173	5	5	1.11
www	36998	22173	5	5	1.11
Lidar	36998	22173	5	5	1.11
méconnue	36998	22173	5	5	1.11
2023	36998	22173	5	5	1.11
Représentation	36998	22173	5	5	1.11
36	36998	22173	5	5	1.11
