token	corpus size	all contexts size	frequency	co-frequency	specificity
mots	169267	29402	298	219	99.71
informatique	169267	29402	351	221	79.88
les	169267	29402	2226	724	67.83
dans	169267	29402	916	378	64.29
en	169267	29402	1796	600	60.79
de	169267	29402	5630	1402	47.39
le	169267	29402	1714	508	35.77
des	169267	29402	2224	608	31.70
url	169267	29402	91	66	30.06
interdites	169267	29402	39	39	29.66
substances	169267	29402	40	39	28.14
points	169267	29402	64	51	26.74
jusqua	169267	29402	34	34	25.85
detectees	169267	29402	34	34	25.85
tonnes	169267	29402	50	42	23.87
est	169267	29402	791	251	22.54
puzzle	169267	29402	36	33	21.49
linformatique	169267	29402	36	33	21.49
pesticide	169267	29402	40	35	21.21
dont	169267	29402	82	53	20.61
piece	169267	29402	26	26	19.77
quest	169267	29402	28	27	19.17
meconnue	169267	29402	28	26	17.36
un	169267	29402	1108	306	17.19
sont	169267	29402	328	122	17.18
que	169267	29402	581	184	16.74
ciel	169267	29402	126	63	16.35
ode	169267	29402	21	21	15.97
Le	169267	29402	343	122	15.48
lejournal	169267	29402	40	30	14.71
3A	169267	29402	45	32	14.55
pesticides	169267	29402	55	36	14.50
2F	169267	29402	36	28	14.47
int	169267	29402	25	22	13.61
complet	169267	29402	25	22	13.61
et	169267	29402	2489	575	13.36
ce	169267	29402	327	112	13.05
140	169267	29402	77	42	12.84
tete	169267	29402	21	19	12.29
périphérie	169267	29402	22	19	11.51
Qu	169267	29402	57	33	11.20
Â«	169267	29402	287	97	11.07
formation	169267	29402	86	42	10.77
Les	169267	29402	390	120	10.43
nuées	169267	29402	16	15	10.28
cnrs	169267	29402	49	29	10.26
Simonet	169267	29402	20	17	10.12
qui	169267	29402	575	161	10.09
A9r	169267	29402	13	13	9.88
AAts	169267	29402	13	13	9.88
rétroaction	169267	29402	13	13	9.88
session	169267	29402	15	14	9.55
l	169267	29402	2038	460	9.54
2024	169267	29402	84	39	9.25
Un	169267	29402	98	43	9.16
Nues	169267	29402	12	12	9.12
tête	169267	29402	24	18	9.05
Â»	169267	29402	328	101	8.98
Informatique	169267	29402	29	20	8.95
nuage	169267	29402	797	204	8.87
Mathieu	169267	29402	30	20	8.56
du	169267	29402	916	227	8.47
limites	169267	29402	23	17	8.42
hybride	169267	29402	33	21	8.41
fournisseurs	169267	29402	53	28	8.40
respond	169267	29402	11	11	8.36
alternatives	169267	29402	21	16	8.27
wp	169267	29402	67	32	8.10
nuages	169267	29402	794	198	7.75
cold	169267	29402	10	10	7.60
Météorologie	169267	29402	10	10	7.60
suspension	169267	29402	18	14	7.49
chez	169267	29402	28	18	7.40
hybrides	169267	29402	16	13	7.38
pour	169267	29402	864	210	7.27
quebec	169267	29402	102	40	6.98
Dans	169267	29402	60	28	6.92
Tête	169267	29402	9	9	6.84
error	169267	29402	9	9	6.84
motif	169267	29402	9	9	6.84
06	169267	29402	36	20	6.67
signup	169267	29402	11	10	6.64
join	169267	29402	11	10	6.64
250220	169267	29402	11	10	6.64
soleil	169267	29402	31	18	6.45
condensation	169267	29402	31	18	6.45
effet	169267	29402	84	34	6.43
visuels	169267	29402	18	13	6.36
terrestre	169267	29402	18	13	6.36
se	169267	29402	244	73	6.27
Rennes	169267	29402	21	14	6.16
poétique	169267	29402	21	14	6.16
précipitations	169267	29402	21	14	6.16
d	169267	29402	1545	338	6.11
0Ahttps	169267	29402	8	8	6.08
De	169267	29402	58	26	6.07
la	169267	29402	2461	513	6.05
connexion	169267	29402	19	13	5.95
apparaître	169267	29402	10	9	5.93
hauteur	169267	29402	10	9	5.93
Ã	169267	29402	1435	314	5.78
par	169267	29402	517	130	5.68
danslenuage	169267	29402	98	36	5.60
services	169267	29402	290	81	5.59
bas	169267	29402	20	13	5.57
forme	169267	29402	83	32	5.57
climatique	169267	29402	155	50	5.55
20nuage	169267	29402	23	14	5.48
tout	169267	29402	123	42	5.47
Howard	169267	29402	55	24	5.42
types	169267	29402	32	17	5.41
format	169267	29402	29	16	5.41
title	169267	29402	18	12	5.35
arts	169267	29402	18	12	5.35
5Burl	169267	29402	7	7	5.32
5Btitle	169267	29402	7	7	5.32
pareils	169267	29402	7	7	5.32
appartiennent	169267	29402	7	7	5.32
dragnsurvey	169267	29402	42	20	5.32
immense	169267	29402	11	9	5.27
xml	169267	29402	21	13	5.24
surprenant	169267	29402	9	8	5.21
privé	169267	29402	24	14	5.18
guide	169267	29402	53	23	5.18
orages	169267	29402	27	15	5.16
classification	169267	29402	16	11	5.14
donc	169267	29402	57	24	5.10
savoir	169267	29402	91	33	5.07
réchauffement	169267	29402	37	18	5.01
ERP	169267	29402	65	26	5.00
tweet	169267	29402	22	13	4.93
redirect	169267	29402	41	19	4.88
art	169267	29402	41	19	4.88
text	169267	29402	85	31	4.87
universitaires	169267	29402	17	11	4.77
petits	169267	29402	32	16	4.71
qu	169267	29402	188	55	4.68
u	169267	29402	23	13	4.65
cache	169267	29402	10	8	4.59
2010	169267	29402	10	8	4.59
couverture	169267	29402	15	10	4.54
2020	169267	29402	65	25	4.51
comptine	169267	29402	8	7	4.50
méconnue	169267	29402	8	7	4.50
ensemencement	169267	29402	8	7	4.50
privés	169267	29402	8	7	4.50
Nuage	169267	29402	54	22	4.48
permettent	169267	29402	18	11	4.44
Formation	169267	29402	21	12	4.40
nombreux	169267	29402	24	13	4.40
comme	169267	29402	144	44	4.39
verticale	169267	29402	13	9	4.32
compréhension	169267	29402	16	10	4.20
Presses	169267	29402	16	10	4.20
sur	169267	29402	779	174	4.19
partie	169267	29402	25	13	4.16
convection	169267	29402	25	13	4.16
cirrus	169267	29402	19	11	4.15
Cintoo	169267	29402	19	11	4.15
nommer	169267	29402	22	12	4.14
Goethe	169267	29402	53	21	4.11
modifications	169267	29402	11	8	4.11
json	169267	29402	46	19	4.06
cumulus	169267	29402	32	15	4.06
gouttelettes	169267	29402	32	15	4.06
ont	169267	29402	89	30	4.04
créer	169267	29402	39	17	4.04
une	169267	29402	878	192	4.03
whatsapp	169267	29402	14	9	3.95
p	169267	29402	86	29	3.94
pièce	169267	29402	9	7	3.93
tipsnlearn	169267	29402	23	12	3.90
La	169267	29402	272	70	3.85
embed	169267	29402	44	18	3.83
2Flepopeeludique	169267	29402	5	5	3.80
2Fcomptine	169267	29402	5	5	3.80
consiste	169267	29402	5	5	3.80
divinité	169267	29402	5	5	3.80
Représentation	169267	29402	5	5	3.80
cavum	169267	29402	5	5	3.80
emet	169267	29402	5	5	3.80
fonctionnalité	169267	29402	7	6	3.80
lit	169267	29402	7	6	3.80
oembed	169267	29402	37	16	3.79
glace	169267	29402	37	16	3.79
comment	169267	29402	126	38	3.79
actifs	169267	29402	27	13	3.74
telephonie	169267	29402	12	8	3.72
outil	169267	29402	45	18	3.69
Flux	169267	29402	24	12	3.69
science	169267	29402	65	23	3.61
environnement	169267	29402	268	68	3.60
deux	169267	29402	62	22	3.50
L	169267	29402	266	67	3.48
me	169267	29402	32	14	3.46
clés	169267	29402	43	17	3.45
entre	169267	29402	109	33	3.44
brouillard	169267	29402	13	8	3.39
anticiper	169267	29402	13	8	3.39
feed	169267	29402	29	13	3.38
aux	169267	29402	332	80	3.37
fait	169267	29402	98	30	3.29
suis	169267	29402	8	6	3.28
Pigeaud	169267	29402	8	6	3.28
circulation	169267	29402	37	15	3.26
tags	169267	29402	23	11	3.23
€‹	169267	29402	23	11	3.23
comprendre	169267	29402	121	35	3.22
évolution	169267	29402	30	13	3.21
première	169267	29402	20	10	3.16
échelle	169267	29402	34	14	3.16
cristaux	169267	29402	34	14	3.16
send	169267	29402	11	7	3.13
intent	169267	29402	38	15	3.12
représentation	169267	29402	17	9	3.12
signification	169267	29402	6	5	3.11
Pinna	169267	29402	6	5	3.11
4000	169267	29402	6	5	3.11
Lidar	169267	29402	6	5	3.11
3D	169267	29402	24	11	3.04
uas	169267	29402	4	4	3.04
648752	169267	29402	4	4	3.04
term	169267	29402	4	4	3.04
sombres	169267	29402	4	4	3.04
€º	169267	29402	4	4	3.04
2Fcomprendre	169267	29402	4	4	3.04
formé	169267	29402	4	4	3.04
détectées	169267	29402	4	4	3.04
Ode	169267	29402	4	4	3.04
replytocom	169267	29402	4	4	3.04
2Fculture	169267	29402	4	4	3.04
2Fce	169267	29402	4	4	3.04
CLOUD	169267	29402	4	4	3.04
n	169267	29402	166	44	3.02
