 cet
cet article
article date
date de
de plus
plus de
de douze
douze ans
ans ce
ce qu
qu il
il faut
faut savoir
savoir sur
sur le
le cloud
cloud nuage
nuage informatique
informatique button
button écouter
écouter min
min nouveau
nouveau monde
monde nicolas
nicolas arpagian
arpagian le
le samedi
samedi à
à h
h h
h et
et h
h le
le on
on en
en parle
parle de
de plus
plus en
en plus
plus sans
sans vraiment
vraiment savoir
savoir ce
ce que
que c
c est
est le
le cloud
cloud le
le nuage
nuage informatique
informatique a
a quoi
quoi ça
ça sert
sert et
et comment
comment ça
ça marche
marche button
button lire
lire plus
plus tard
tard nbsp
nbsp ©
© ©
© le
le cloud
cloud le
le nuage
nuage comme
comme son
son nom
nom l
l indique
indique est
est une
une sorte
sorte de
de gigantesque
gigantesque mémoire
mémoire informatique
informatique qui
qui plane
plane au
au dessus
dessus de
de nos
nos têtes
têtes et
et à
à photos
photos de
de vacances
vacances le
le nuage
nuage tout
tout le
le monde
monde en
en fait
fait sans
sans le
le savoir
savoir votre
votre messagerie
messagerie électronique
électronique c
c est
est du
du cloud
cloud les
les emails
emails sont
sont stockés
stockés sur
sur un
un serveur
serveur les
les données
données sont
sont elles
elles bien
bien protégées
protégées oui
oui elles
elles sont
sont mieux
mieux dans
dans le
le nuage
nuage où
où elles
elles sont
sont sauvegardées
sauvegardées dans
dans plusieurs
plusieurs centres
centres serveurs
serveurs plutôt
plutôt que
que sur
sur un
un ordinateur
ordinateur à
à la
la d
d avantages
avantages il
il va
va être
être de
de plus
plus en
en plus
plus difficile
difficile de
de s
s en
en passer
passer le
le nuage
nuage il
il en
en sera
sera question
question aujourd
aujourd hui
hui à
à h
h dans
dans votre
votre france
france info
info avec
avec les
les réponses
réponses à
à vos
vos questions
questions posées
posées par
par facebook
facebook ou
ou twitter
twitter 
