 accueil
accueil visualiser
visualiser les
les résultats
résultats d
d une
une analyse
analyse de
de texte
texte à
à l
l aide
aide de
de nuages
nuages de
de mots
mots visualisation
visualisation des
des résultats
résultats de
de l
l analyse
analyse de
de texte
texte à
à l
l aide
aide de
de nuages
nuages de
de mots
mots sommaire
sommaire communication
communication utilisation
utilisation du
du nuage
nuage de
de mots
mots pour
pour l
l analyse
analyse de
de la
la fréquence
fréquence des
des mots
mots un
un nuage
nuage de
de mots
mots ou
ou nuage
nuage de
de tags
tags est
est une
une représentation
représentation visuelle
visuelle de
de données
données textuelles
textuelles sous
sous forme
forme de
de tags
tags qui
qui sont
sont généralement
généralement des
des mots
mots uniques
uniques dont
dont l
l importance
importance est
est visualisée
visualisée par
par leur
leur taille
taille et
et leur
leur dans
dans le
le domaine
domaine des
des médias
médias sociaux
sociaux il
il est
est de
de plus
plus en
en plus
plus nécessaire
nécessaire d
d analyser
analyser les
les quantités
quantités massives
massives de
de texte
texte générées
générées par
par ces
ces systèmes
systèmes un
un nuage
nuage de
de mots
mots est
est une
une excellente
excellente option
option pour
pour aider
aider à
à interpréter
interpréter visuellement
visuellement un
un texte
texte et
et est
est utile
utile pour
pour obtenir
obtenir rapidement
rapidement un
un aperçu
aperçu des
des éléments
éléments les
les plus
plus importants
importants dans
dans un
un texte
texte donné
donné en
en visualisant
visualisant la
la texte
texte en
en couleur
couleur et
et en
en taille
taille ce
ce blog
blog démontrera
démontrera comment
comment créer
créer un
un nuage
nuage de
de mots
mots dans
dans dundas
dundas bi
bi en
en utilisant
utilisant la
la bibliothèque
bibliothèque d
d js
js notez
notez que
que cela
cela n
n est
est pas
pas nécessaire
nécessaire si
si la
la visualisation
visualisation native
native du
du nuage
nuage de
de mots
mots est
est utilisée
utilisée à
à partir
partir de
de la
la version
version car
car elle
elle peut
peut maintenant
maintenant être
être créée
créée en
en quelques
quelques clics
clics Étapes
Étapes de
de l
l analyse
analyse de
de la
la fréquence
fréquence des
des mots
mots la
la première
première étape
étape de
de la
la visualisation
visualisation des
des données
données sous
sous forme
forme de
de nuage
nuage de
de mots
mots consiste
consiste à
à analyser
analyser le
le texte
texte et
et à
à extraire
extraire la
la fréquence
fréquence de
de chaque
chaque mot
mot dans
dans le
le texte
texte dans
dans notre
notre exemple
exemple les
les avis
avis des
des clients
clients sont
sont texte
texte création
création du
du nuage
nuage de
de mots
mots créer
créer un
un tableau
tableau sur
sur le
le canevas
canevas du
du tableau
tableau de
de bord
