Model loaded
loaded succeed
succeed 新华网
新华网 时政
时政 正文
正文 2025
2025 12
12 19
19 12
12 11
11 52
52 来
来 源
源 新华网
新华网 看病
看病 将
将 告别
告别 胶片
胶片 医保
医保 影像云
影像云 系列
系列 规范
规范 公开
公开 征求
征求 意见
意见 字体
字体 小
小 中
中 大
大 分享
分享 到
到 看病
看病 将
将 告别
告别 胶片
胶片 医保
医保 影像云
影像云 系列
系列 规范
规范 公开
公开 征求
征求 意见
意见 2025
2025 12
12 19
19 12
12 11
11 52
52 来
来 源
源 新华网
新华网 新华社
新华社 北京
北京 12月
12月 19日
19日 电
电 记者
记者 徐鹏航
徐鹏航 彭韵佳
彭韵佳 为
为 切实
切实 解决
解决 群众
群众 跨院
跨院 就医
就医 携带
携带 胶片
胶片 不
不 便
便 保存
保存 管理
管理 繁琐
繁琐 的
的 难题
难题 国
国 家
家 医保局
医保局 19日
19日 公开
公开 四
四 项
项 医
医 保影
保影 像
像 云
云 基础
基础 规范
规范 征求
征求 社会
社会 意见
意见 四
四 项
项 规范
规范 包括
包括 医保
医保 影像云
影像云 图像
图像 质控
质控 规范
规范 软件
软件 应用
应用 规范
规范 基础
基础 设施
设施 技术
技术 规范
规范 和
和 影像
影像 人员
人员 及
及 设备
设备 规范
规范 据悉
据悉 此次
此次 规范
规范 编制
编制 的
的 核心
核心 目标
目标 是
是 加快
加快 推进
推进 医保
医保 影像云
影像云 高
高 质量
质量 建设
建设 构建
构建 影像
影像 检查
检查 数据
数据 全国
全国 存储
存储 机构
机构 调阅
调阅 参保人
参保人 查阅
查阅 的
的 数字化
数字化 服务
服务 平台
平台 支撑
支撑 全国
全国 定点
定点 医
医 疗
疗 机构
机构 间
间 医保
医保 支付
支付 相关
相关 影像
影像 检查
检查 数据
数据 互通
互通 共享
共享 最新
最新 数据
数据 显示
显示 目前
目前 已
已 有
有 20
20 个
个 省份
省份 上
上 传医
传医 保影
保影 像
像 云
云 数据
数据 近
近 2亿
2亿 条
条 国
国 家
家 医保局
医保局 表示
表示 将
将 加快
加快 医保云
医保云 建设
建设 拓展
拓展 影像
影像 数据
数据 跨
跨 省
省 异地
异地 调
调 阅
阅 共享
共享 范围
范围 力争
力争 202
202 7
7 年
年 底
底 前
前 实现
实现 全国
全国 医保
医保 影像云
影像云 数据
数据 一
一 张
张 网
网 此前
此前 印发
印发 的
的 放射
放射 检查
检查 类
类 医疗
医疗 服务
服务 价
价 格
格 项目
项目 立项
立项 指南
指南 试行
试行 已
已 明确
明确 将
将 实体
实体 胶片
胶片 从
从 项目
项目 价
价 格
格 构成
构成 中
中 剥离
剥离 由
由 患者
患者 按
按 需
需 选购
选购 实体
实体 胶片
胶片 实行
实行 零差
零差 价
价 销售
销售 不
不 捆绑
捆绑 收费
收费 同时
同时 将
将 数字
数字 影像
影像 处理
处理 上传
上传 与
与 云
云 存储
存储 纳入
纳入 放射
放射 检查
检查 的
的 价格
价格 构成
构成 如
如 医疗
医疗 机构
机构 无法
无法 做到
做到 检查
检查 影像云
影像云 存储
存储 的
的 需要
需要 减
减 收
收 一定
一定 费用
费用 纠错
纠错 阅读
阅读 下
下 一
一 篇
篇 看病
看病 将
将 告别
告别 胶片
胶片 医保
医保 影像云
影像云 系列
系列 规范
规范 公开
公开 征求
征求 意见
意见 
